"Pigment",".y.","n","statistic","df","p","method","p.adj","p.adj.signif"
"a.Tocopherol","FW.norm",304,53.1034711784368,4,8.11e-11,"Kruskal-Wallis",1.09308695652174e-10,"***"
"Violaxanthin","FW.norm",304,45.8548854067803,4,2.64e-09,"Kruskal-Wallis",3.03111111111111e-09,"***"
"Neoxanthin","FW.norm",304,164.10353922074,4,1.93e-34,"Kruskal-Wallis",2.9915e-33,"***"
"Lutein.epoxide","FW.norm",304,93.4419439763575,4,2.44e-19,"Kruskal-Wallis",7.564e-19,"***"
"Antheraxanthin","FW.norm",304,55.9821101899441,4,2.02e-11,"Kruskal-Wallis",2.98190476190476e-11,"***"
"Lutein","FW.norm",304,60.965936711707,4,1.82e-12,"Kruskal-Wallis",2.96947368421053e-12,"***"
"Zeaxanthin","FW.norm",304,73.2643766905178,4,4.64e-15,"Kruskal-Wallis",8.99e-15,"***"
"a.Carotene","FW.norm",304,23.3229636024016,4,0.000109,"Kruskal-Wallis",0.000112633333333333,"***"
"b.Carotene","FW.norm",304,75.1260832469615,4,1.87e-15,"Kruskal-Wallis",3.86466666666667e-15,"***"
"cis.B.carotene","FW.norm",304,84.6456003764822,4,1.8e-17,"Kruskal-Wallis",4.65e-17,"***"
"Chl.b","FW.norm",304,123.589636370553,4,9.14e-26,"Kruskal-Wallis",5.6668e-25,"***"
"Chl.a","FW.norm",304,119.606860894375,4,6.48e-25,"Kruskal-Wallis",2.511e-24,"***"
"Car.Chl31","FW.norm",299,120.558272345893,4,4.06e-25,"Kruskal-Wallis",1.798e-24,"***"
"Tot.Chl","FW.norm",304,121.897572984778,4,2.1e-25,"Kruskal-Wallis",1.085e-24,"***"
"Chl.a.b","FW.norm",285,17.1016207063378,4,0.00185,"Kruskal-Wallis",0.00185,"**"
"Tot.Car","FW.norm",304,70.4507776787651,4,1.82e-14,"Kruskal-Wallis",3.31882352941176e-14,"***"
"VAZ","FW.norm",304,47.1631283434795,4,1.41e-09,"Kruskal-Wallis",1.68115384615385e-09,"***"
"VAZ.Chl","FW.norm",299,141.246535074438,4,1.53e-29,"Kruskal-Wallis",1.581e-28,"***"
"VAZ.Car","FW.norm",304,35.8669128731793,4,3.08e-07,"Kruskal-Wallis",3.29241379310345e-07,"***"
"NVZ","FW.norm",304,58.7907599574047,4,5.21e-12,"Kruskal-Wallis",8.0755e-12,"***"
"NVZ.Car","FW.norm",304,42.2061583531261,4,1.51e-08,"Kruskal-Wallis",1.67178571428571e-08,"***"
"Lut.Chl","FW.norm",299,75.7358081956735,4,1.39e-15,"Kruskal-Wallis",3.07785714285714e-15,"***"
"Lut.Car","FW.norm",304,91.4517578211687,4,6.47e-19,"Kruskal-Wallis",1.82336363636364e-18,"***"
"Lut.epo.Car","FW.norm",304,130.542542467401,4,2.98e-27,"Kruskal-Wallis",2.3095e-26,"***"
"a.Car.Car","FW.norm",304,54.8649724932166,4,3.47e-11,"Kruskal-Wallis",4.88954545454545e-11,"***"
"b.Car.Car","FW.norm",304,52.9918004894577,4,8.56e-11,"Kruskal-Wallis",1.10566666666667e-10,"***"
"Zea.Car","FW.norm",304,78.3195066274606,4,3.95e-16,"Kruskal-Wallis",9.41923076923077e-16,"***"
"Vio.Car","FW.norm",304,51.844387158087,4,1.49e-10,"Kruskal-Wallis",1.8476e-10,"***"
"Neo.Car","FW.norm",304,170.182110713755,4,9.56e-36,"Kruskal-Wallis",2.9636e-34,"***"
"Ant.Car","FW.norm",304,63.4187597658197,4,5.54e-13,"Kruskal-Wallis",9.54111111111111e-13,"***"
"DEPS","FW.norm",304,96.1446444146874,4,6.51e-20,"Kruskal-Wallis",2.24233333333333e-19,"***"
