"Subgenus","Metric",".y.","n","statistic","df","p","method","p.adj","p.adj.signif"
"C_purpurata","Fo","Value",44,25.0365774965938,3,1.52e-05,"Kruskal-Wallis",1.90974358974359e-05,"***"
"Cuscuta","Fo","Value",66,31.7065674437451,5,6.79e-06,"Kruskal-Wallis",9.78558823529412e-06,"***"
"Grammica","Fo","Value",740,343.592729811492,5,4.19e-72,"Kruskal-Wallis",6.84366666666666e-71,"***"
"Ipomoea_nil","Fo","Value",43,35.812704517411,4,3.16e-07,"Kruskal-Wallis",7.37333333333333e-07,"***"
"Monogynella","Fo","Value",62,32.4012966226678,5,4.95e-06,"Kruskal-Wallis",7.8241935483871e-06,"***"
"C_purpurata","Fm","Value",44,26.5099898052911,3,7.46e-06,"Kruskal-Wallis",1.0444e-05,"***"
"Cuscuta","Fm","Value",68,31.7968545816843,5,6.52e-06,"Kruskal-Wallis",9.78558823529412e-06,"***"
"Grammica","Fm","Value",735,336.273418610881,5,1.58e-70,"Kruskal-Wallis",1.9355e-69,"***"
"Ipomoea_nil","Fm","Value",43,37.2181914280223,4,1.62e-07,"Kruskal-Wallis",4.17789473684211e-07,"***"
"Monogynella","Fm","Value",63,34.4077026643991,5,1.97e-06,"Kruskal-Wallis",3.57518518518519e-06,"***"
"C_purpurata","Ft","Value",44,27.3790281923046,3,4.9e-06,"Kruskal-Wallis",7.8241935483871e-06,"***"
"Cuscuta","Ft","Value",65,32.9506765369648,5,3.85e-06,"Kruskal-Wallis",6.5051724137931e-06,"***"
"Grammica","Ft","Value",735,387.099966203397,5,1.79e-81,"Kruskal-Wallis",8.771e-80,"***"
"Ipomoea_nil","Ft","Value",42,33.1839408059525,4,1.1e-06,"Kruskal-Wallis",2.34347826086957e-06,"***"
"Monogynella","Ft","Value",62,27.8436430436232,5,3.91e-05,"Kruskal-Wallis",4.78975e-05,"***"
"C_purpurata","Fo.","Value",43,25.6569887819303,3,1.13e-05,"Kruskal-Wallis",1.49648648648649e-05,"***"
"Cuscuta","Fo.","Value",63,31.7612030702433,5,6.62e-06,"Kruskal-Wallis",9.78558823529412e-06,"***"
"Grammica","Fo.","Value",737,356.349541467146,5,7.52e-75,"Kruskal-Wallis",1.8424e-73,"***"
"Ipomoea_nil","Fo.","Value",42,32.2782845061915,4,1.68e-06,"Kruskal-Wallis",3.16615384615385e-06,"***"
"Monogynella","Fo.","Value",63,29.9589651832956,5,1.5e-05,"Kruskal-Wallis",1.90974358974359e-05,"***"
"Grammica","Fv.Fm","Value",735,130.296661444137,5,2.06e-26,"Kruskal-Wallis",1.68233333333333e-25,"***"
"Ipomoea_nil","Fv.Fm","Value",43,32.5660406718018,4,1.47e-06,"Kruskal-Wallis",3.00125e-06,"***"
"Monogynella","Fv.Fm","Value",64,45.8066748555931,5,9.94e-09,"Kruskal-Wallis",3.479e-08,"***"
"Cuscuta","φPSII","Value",69,20.2471239710399,5,0.00112,"Kruskal-Wallis",0.00127627906976744,"**"
"Grammica","φPSII","Value",747,120.237725297966,5,2.79e-24,"Kruskal-Wallis",1.953e-23,"***"
"Ipomoea_nil","φPSII","Value",43,32.4115357510707,4,1.58e-06,"Kruskal-Wallis",3.0968e-06,"***"
"Monogynella","φPSII","Value",63,53.1656582504797,5,3.11e-10,"Kruskal-Wallis",1.38536363636364e-09,"***"
"Cuscuta","ΦNPQ","Value",67,42.8793569804147,5,3.91e-08,"Kruskal-Wallis",1.1974375e-07,"***"
"Grammica","ΦNPQ","Value",742,104.609789636835,5,5.63e-21,"Kruskal-Wallis",3.448375e-20,"***"
"Ipomoea_nil","ΦNPQ","Value",44,36.8288163688164,4,1.95e-07,"Kruskal-Wallis",4.7775e-07,"***"
"Monogynella","ΦNPQ","Value",62,49.4256014509471,5,1.82e-09,"Kruskal-Wallis",7.43166666666667e-09,"***"
"Cuscuta","Φf.D","Value",66,21.1213955130021,5,0.000768,"Kruskal-Wallis",0.000896,"***"
"Grammica","Φf.D","Value",726,78.1585933717205,5,2.04e-15,"Kruskal-Wallis",1.11066666666667e-14,"***"
"Ipomoea_nil","Φf.D","Value",43,37.5557178550836,4,1.38e-07,"Kruskal-Wallis",3.75666666666667e-07,"***"
"Monogynella","Φf.D","Value",63,44.062867118001,5,2.25e-08,"Kruskal-Wallis",7.35e-08,"***"
"Cuscuta","NPQ","Value",69,31.0084008269039,5,9.33e-06,"Kruskal-Wallis",1.26991666666667e-05,"***"
"Grammica","NPQ","Value",766,77.9325115616905,5,2.27e-15,"Kruskal-Wallis",1.1123e-14,"***"
"Ipomoea_nil","NPQ","Value",43,34.9801973220578,4,4.69e-07,"Kruskal-Wallis",1.04459090909091e-06,"***"
"Monogynella","NPQ","Value",62,24.9000305889707,5,0.000146,"Kruskal-Wallis",0.000174487804878049,"***"
"Cuscuta","X1.qP","Value",61,42.6751541106342,5,4.3e-08,"Kruskal-Wallis",1.23941176470588e-07,"***"
"Grammica","X1.qP","Value",729,211.280048569588,5,1.09e-43,"Kruskal-Wallis",1.0682e-42,"***"
"Ipomoea_nil","X1.qP","Value",41,31.1535483486703,4,2.85e-06,"Kruskal-Wallis",4.9875e-06,"***"
"Monogynella","X1.qP","Value",60,49.0630853299706,5,2.15e-09,"Kruskal-Wallis",8.10384615384615e-09,"***"
